1,6.7,2.1
2,0.2,6
3,9.8,4.5
4,6.2,9.5
5,1.2,0.6
6,9.5,0.1
7,2.5,3.4
8,2.6,0.4
9,1.9,0.6
10,5.5,9.7
11,3.7,4.2
12,4.5,7.5
13,5.7,2.7
14,6.9,5
15,5.2,0.1
16,5,2.5
17,0.9,0.9
18,6,9.7
19,7.7,5.5
20,6.4,0
21,6.1,9.8
22,6.6,1.9
23,7.2,6.7
24,5.1,1.9
25,3.5,7.4
26,8.9,5
27,6.4,3
28,7.7,6.8
29,7.2,5.2
30,10,0.5
31,1,9.5
32,5.5,9.4
33,5.9,7.4
34,4.2,1.9
35,1.7,6.8
36,8.2,7.3
37,5.4,8.7
38,6.6,2.4
39,1.2,4.2
40,3.4,8.1
41,1.3,0.6
42,0.8,0.9
43,3.4,4.9
44,7.4,6.1
45,8.4,1
46,3.3,9.2
47,8.2,7.5
48,9,2.1
49,9.6,3
50,0.2,8.3
51,8.7,7.3
52,0.8,0.4
53,7.2,2.3
54,0.8,0.7
55,1.4,9.3
56,6.1,9.6
57,7.1,6.2
58,3.4,2.7
59,6.1,5.5
60,2.2,4.1
61,9.2,7.2
62,7.5,3.7
63,8.3,1.8
64,8.2,4.9
65,4.6,1.9
66,7.1,1.6
67,1,4.4
68,2.5,0.3
69,5.1,7.1
70,9,6.1
71,9.9,0.3
72,5.1,10
73,9.8,7.6
74,7.2,0.3
75,4.7,9.1
76,3.6,9
77,7.9,8.3
78,4.3,4.1
79,7.1,2.6
80,2.4,1.5
81,0.4,8.8
82,7.9,6.3
83,8.9,5.6
84,7.7,9.3
85,1,1.9
86,7.9,7.2
87,4.6,1.7
88,3.8,0.1
89,7,2.7
90,5.4,9.9
91,1.1,5.2
92,0,1.6
93,1,6.2
94,5.5,4.9
95,6.7,6.5
96,3.6,0.8
97,8.4,2.3
98,0.6,8.8
99,0.9,0.7
100,2.2,4.2
